[flows=4886, src_bytes=57308211, dst_bytes=11929269, src_pkt=328182, dst_pkt=170916, tcp=2112, udp=2431, icmp=343, other=0 ]
[flows=113496, src_bytes=36259655, dst_bytes=29053478, src_pkt=630996, dst_pkt=519152, tcp=113268, udp=201, icmp=27, other=0 ]
[flows=29004, src_bytes=9183624, dst_bytes=7260514, src_pkt=157883, dst_pkt=129629, tcp=28942, udp=54, icmp=8, other=0]
[flows=110630, src_bytes=35731931, dst_bytes=29301768, src_pkt=634857, dst_pkt=524437, tcp=110264, udp=322, icmp=44, other=0]
[flows=115994, src_bytes=35861569, dst_bytes=29235961, src_pkt=633742, dst_pkt=523011, tcp=115757, udp=208, icmp=29, other=0]
[flows=113359, src_bytes=35772861, dst_bytes=29273192, src_pkt=634387, dst_pkt=523855, tcp=113125, udp=205, icmp=29, other=0]
[flows=116444, src_bytes=35921374, dst_bytes=29206104, src_pkt=633363, dst_pkt=522413, tcp=116207, udp=208, icmp=29, other=0]
[flows=115000, src_bytes=36193827, dst_bytes=29080604, src_pkt=631404, dst_pkt=519724, tcp=114770, udp=202, icmp=28, other=0]
[flows=113088, src_bytes=36029920, dst_bytes=29158553, src_pkt=632599, dst_pkt=521421, tcp=112855, udp=204, icmp=29, other=0]
[flows=3459, src_bytes=1145997, dst_bytes=780688, src_pkt=20699, dst_pkt=13793, tcp=3449, udp=9, icmp=1, other=0]
[flows=116720, src_bytes=38691006, dst_bytes=26364392, src_pkt=698963, dst_pkt=465793, tcp=116454, udp=232, icmp=34, other=0]
[flows=116715, src_bytes=38691504, dst_bytes=26365062, src_pkt=698974, dst_pkt=465807, tcp=116453, udp=230, icmp=32, other=0]
[flows=116716, src_bytes=38692019, dst_bytes=26364882, src_pkt=698974, dst_pkt=465796, tcp=116450, udp=234, icmp=32, other=0]
[flows=116715, src_bytes=38691501, dst_bytes=26365157, src_pkt=698973, dst_pkt=465806, tcp=116453, udp=231, icmp=31, other=0]
[flows=116712, src_bytes=38691018, dst_bytes=26365821, src_pkt=698968, dst_pkt=465805, tcp=116452, udp=228, icmp=32, other=0]
[flows=116713, src_bytes=38691204, dst_bytes=26365404, src_pkt=698972, dst_pkt=465808, tcp=116453, udp=228, icmp=32, other=0]
[flows=112831, src_bytes=36358069, dst_bytes=29014163, src_pkt=630319, dst_pkt=518308, tcp=112602, udp=200, icmp=29, other=0]
[flows=26079, src_bytes=7814453, dst_bytes=6149330, src_pkt=133781, dst_pkt=109742, tcp=26028, udp=45, icmp=6, other=0]
[flows=110880, src_bytes=35773252, dst_bytes=29286441, src_pkt=634375, dst_pkt=524078, tcp=110502, udp=331, icmp=47, other=0]
[flows=113523, src_bytes=35775304, dst_bytes=29282160, src_pkt=634371, dst_pkt=523979, tcp=113294, udp=201, icmp=28, other=0]
[flows=112570, src_bytes=35684462, dst_bytes=29319589, src_pkt=635123, dst_pkt=524822, tcp=112333, udp=208, icmp=29, other=0]
[flows=116217, src_bytes=35826581, dst_bytes=29251520, src_pkt=634042, dst_pkt=523391, tcp=115977, udp=211, icmp=29, other=0]
[flows=114638, src_bytes=35937084, dst_bytes=29197752, src_pkt=633259, dst_pkt=522243, tcp=114405, udp=205, icmp=28, other=0]
[flows=114127, src_bytes=35914449, dst_bytes=29212903, src_pkt=633429, dst_pkt=522564, tcp=113892, udp=206, icmp=29, other=0]
[flows=115271, src_bytes=35930185, dst_bytes=28778880, src_pkt=661954, dst_pkt=514393, tcp=115175, udp=85, icmp=11, other=0]
[flows=116688, src_bytes=36011580, dst_bytes=28727920, src_pkt=661948, dst_pkt=513321, tcp=116592, udp=85, icmp=11, other=0]
[flows=118843, src_bytes=35915142, dst_bytes=28787175, src_pkt=662046, dst_pkt=514545, tcp=118751, udp=82, icmp=10, other=0]
[flows=119228, src_bytes=35918219, dst_bytes=28785282, src_pkt=662048, dst_pkt=514504, tcp=119137, udp=81, icmp=10, other=0]
[flows=117724, src_bytes=35919148, dst_bytes=28785058, src_pkt=662026, dst_pkt=514501, tcp=117626, udp=87, icmp=11, other=0]
