[flows=118052, src_bytes=36690381, dst_bytes=28341572, src_pkt=654563, dst_pkt=506885, tcp=117998, udp=54, icmp=0, other=0]
[flows=66407, src_bytes=16367249, dst_bytes=14009336, src_pkt=288483, dst_pkt=258183, tcp=66401, udp=6, icmp=0, other=0]
[flows=12, src_bytes=10092, dst_bytes=4498, src_pkt=90, dst_pkt=58, tcp=12, udp=0, icmp=0, other=0]
[flows=126349, src_bytes=39549545, dst_bytes=26676640, src_pkt=649591, dst_pkt=473218, tcp=126288, udp=61, icmp=0, other=0]
[flows=126562, src_bytes=38644239, dst_bytes=27349717, src_pkt=646617, dst_pkt=485181, tcp=126501, udp=61, icmp=0, other=0]
[flows=124412, src_bytes=39740620, dst_bytes=26537258, src_pkt=649304, dst_pkt=471613, tcp=124352, udp=60, icmp=0, other=0]
[flows=125127, src_bytes=37249600, dst_bytes=27825901, src_pkt=662129, dst_pkt=496039, tcp=125059, udp=68, icmp=0, other=0]
[flows=119053, src_bytes=37244938, dst_bytes=27977696, src_pkt=658675, dst_pkt=496979, tcp=118999, udp=54, icmp=0, other=0]
[flows=122370, src_bytes=37395662, dst_bytes=27763237, src_pkt=665958, dst_pkt=492060, tcp=122319, udp=51, icmp=0, other=0]
[flows=125012, src_bytes=38298590, dst_bytes=27573966, src_pkt=646352, dst_pkt=489097, tcp=124957, udp=55, icmp=0, other=0]
[flows=121368, src_bytes=39637881, dst_bytes=26889994, src_pkt=641152, dst_pkt=474269, tcp=121320, udp=48, icmp=0, other=0]
[flows=112651, src_bytes=37886968, dst_bytes=25255966, src_pkt=599423, dst_pkt=444350, tcp=112604, udp=47, icmp=0, other=0]
[flows=124272, src_bytes=40035957, dst_bytes=26679342, src_pkt=634595, dst_pkt=472789, tcp=124207, udp=65, icmp=0, other=0]
[flows=129775, src_bytes=39270334, dst_bytes=26591941, src_pkt=662425, dst_pkt=470649, tcp=129708, udp=67, icmp=0, other=0]
[flows=126340, src_bytes=38967803, dst_bytes=27138120, src_pkt=648828, dst_pkt=478249, tcp=126278, udp=62, icmp=0, other=0]
[flows=122848, src_bytes=40016872, dst_bytes=26495782, src_pkt=645523, dst_pkt=468109, tcp=122784, udp=64, icmp=0, other=0]
[flows=117287, src_bytes=40877072, dst_bytes=26373244, src_pkt=627745, dst_pkt=463687, tcp=117237, udp=50, icmp=0, other=0]
[flows=123761, src_bytes=38526995, dst_bytes=27400413, src_pkt=647162, dst_pkt=486391, tcp=123703, udp=58, icmp=0, other=0]
[flows=126506, src_bytes=37462525, dst_bytes=27837250, src_pkt=659628, dst_pkt=493852, tcp=126452, udp=54, icmp=0, other=0]
[flows=125748, src_bytes=37359340, dst_bytes=27882830, src_pkt=660400, dst_pkt=494801, tcp=125695, udp=53, icmp=0, other=0]
[flows=134760, src_bytes=37061272, dst_bytes=27733790, src_pkt=674036, dst_pkt=497931, tcp=134679, udp=72, icmp=9, other=0]
[flows=138167, src_bytes=36816922, dst_bytes=27945378, src_pkt=671712, dst_pkt=501118, tcp=138065, udp=93, icmp=9, other=0]
[flows=136225, src_bytes=36785007, dst_bytes=28006088, src_pkt=668997, dst_pkt=502882, tcp=136115, udp=99, icmp=11, other=0]
[flows=129108, src_bytes=36743496, dst_bytes=27974792, src_pkt=673259, dst_pkt=499319, tcp=128988, udp=108, icmp=12, other=0]
[flows=123232, src_bytes=36231053, dst_bytes=28484642, src_pkt=668428, dst_pkt=507715, tcp=123139, udp=84, icmp=9, other=0]
[flows=125601, src_bytes=36530821, dst_bytes=28200880, src_pkt=674296, dst_pkt=501315, tcp=125515, udp=78, icmp=8, other=0]
[flows=133666, src_bytes=36191409, dst_bytes=28530077, src_pkt=665724, dst_pkt=510227, tcp=133572, udp=84, icmp=10, other=0]
[flows=134548, src_bytes=36458494, dst_bytes=28273218, src_pkt=672439, dst_pkt=503170, tcp=134457, udp=82, icmp=9, other=0]
[flows=87301, src_bytes=23470572, dst_bytes=18425828, src_pkt=433032, dst_pkt=328549, tcp=87238, udp=57, icmp=6, other=0]
[flows=138618, src_bytes=37127080, dst_bytes=27631464, src_pkt=676815, dst_pkt=493539, tcp=138483, udp=121, icmp=14, other=0]
[flows=137469, src_bytes=36920053, dst_bytes=27861865, src_pkt=674551, dst_pkt=497509, tcp=137357, udp=101, icmp=11, other=0]
[flows=136883, src_bytes=36753327, dst_bytes=28031903, src_pkt=669680, dst_pkt=502615, tcp=136779, udp=94, icmp=10, other=0]
[flows=136110, src_bytes=36665055, dst_bytes=28096201, src_pkt=672888, dst_pkt=500346, tcp=135995, udp=104, icmp=11, other=0]
[flows=133382, src_bytes=36459762, dst_bytes=28298512, src_pkt=668075, dst_pkt=506326, tcp=133282, udp=90, icmp=10, other=0]
[flows=130954, src_bytes=36119026, dst_bytes=28588944, src_pkt=666329, dst_pkt=510073, tcp=130854, udp=90, icmp=10, other=0]
[flows=131734, src_bytes=36415104, dst_bytes=28305295, src_pkt=672368, dst_pkt=503618, tcp=131646, udp=80, icmp=8, other=0]
[flows=133682, src_bytes=36469719, dst_bytes=28305929, src_pkt=668746, dst_pkt=505400, tcp=133581, udp=91, icmp=10, other=0]
[flows=123909, src_bytes=40321574, dst_bytes=27032648, src_pkt=602950, dst_pkt=483561, tcp=123654, udp=230, icmp=25, other=0]
[flows=128628, src_bytes=40254841, dst_bytes=27134505, src_pkt=598890, dst_pkt=482630, tcp=128222, udp=365, icmp=41, other=0]
[flows=128421, src_bytes=37063153, dst_bytes=28699802, src_pkt=625106, dst_pkt=511612, tcp=128128, udp=265, icmp=28, other=0]
[flows=125573, src_bytes=38558475, dst_bytes=27927186, src_pkt=613287, dst_pkt=498321, tcp=125229, udp=310, icmp=34, other=0]
